"","DIA.mid","NVDA","AAPL","MSFT","BAC","JPM","V","GOOGL","META","NFLX","AMZN","TSLA","HD","LLY","JNJ","UNH"
"2022-01-04",0.00691861417077866,-0.0236545802487437,-0.00538429623161296,-0.0122180622491131,0.0336725919207388,0.0290971052557329,0.0129612195344482,0.000753512647593935,-0.00313113011941735,-0.0106550280414128,-0.0089771517302375,-0.0285510717945497,0.00553048934767486,-0.0184006736710456,-0.000553769354241118,-0.00988491747622278
"2022-01-05",-0.00307170913372123,-0.0278422749712889,-0.0127712755031728,-0.0242697801688155,-0.00468852429566213,-0.0106357840829093,0.000606825958652246,-0.0228931228064094,-0.0199982044749382,-0.0190983944070984,-0.0106270110491913,-0.0208030238787799,-0.00563171439023868,-0.00830177413949484,0.00856322376789165,0.0049806627716813
"2022-01-06",-0.00215607039469679,0.00534342985283898,-0.00828948641333571,-0.00406158304025994,0.0104917110784857,0.011234560700969,-0.00122725746848362,0.00344226778342582,0.0208995083315893,-0.0261400400989541,-0.00601431582074585,-0.0311271052703318,-0.00293436817131332,-0.00870898406377063,-0.00330971832995031,-0.0327962537085192
"2022-01-07",0.000303499950651709,-0.0155617665739075,0.00340115746786429,-0.00186379095439859,0.0115312755632464,0.00468217663412251,-0.00832765338363906,-0.00464617797776112,0.00144381579337494,-0.013492021084978,0.00234759950776775,-0.0180661227962357,-0.0179293399551022,-0.00134959650965405,0.00632173310962436,-0.0167997434093174
"2022-01-10",-0.00960502263528151,-0.0253422492741652,-0.010658065307476,-0.0138039950194661,0.000610018024793435,0.00155536313196958,-0.0304664824631184,-0.00748077909506784,-0.0298532619518134,-0.0111909821248722,-0.0219680790797905,-0.00721551889064076,-0.0237798473105361,-0.0056840018270562,-0.00589246285982603,0.00337982505961598
"2022-01-11",-0.00156601465679418,0.00189784672170279,0.00470409168423913,-0.00324558198150926,0.000306547916510969,0.000567735997790919,-0.000589706087088526,-0.00155218333413298,0.00574570812556208,-0.0052977901678396,0.0126312157084481,-0.000741856451209277,0.00160019199310923,-0.00144163916161888,-0.00774161630505099,0.0012043286395329
"2022-01-12",0.00158602343104142,0.0102275632830477,0.0052547301766257,0.0167152960417158,-0.00365776064165679,0.00534353683395405,0.00613394338119622,0.0137062776856032,-0.00349911231878108,-0.00498300299990206,0.00172655871960603,0.0275413840909142,0.00839215611374011,-0.0309355187045804,-0.0119124141052691,0.00390192288071356
"2022-01-13",-0.000440842145551734,-0.0182149781260176,-0.00754859332792857,-0.0183177389433824,0.00409334343923606,0.00243407757523317,0.00862265506033877,-0.00566352303413098,-0.00769670037281145,-0.0143237543403703,-0.00938671318737605,-0.0317748545213423,0.00175911034753606,-0.015219586866733,-0.00206131608790838,-0.00518239007162147
"2022-01-14",-0.00858256162108828,0.0048353349906991,0.00142281847792458,0.00815293952973684,-0.0215340293930414,-0.0550734091716545,0.00455815514852831,0.00204383448585066,0.00150082767056614,0.0114118377290031,-0.0011708115636051,0.00109541822743986,-0.0264225691592036,-0.0118156150088987,-0.00509599809400751,0.00362622713727845
"2022-01-18",-0.0143398791669145,-0.0273921378467548,-0.0121049792652577,-0.0142811831690153,-0.019307057970261,-0.0299575867706521,0.00442541848297351,-0.0229099811245911,-0.0330671619359822,-0.0199262037605198,-0.0212072397607501,-0.00589264811322565,-0.0213440925844254,0.00485419142917576,-0.00580909494396231,-0.0142098265962948
"2022-01-19",-0.00274132107605052,-0.00407289587112003,-0.00759717840013308,0.0186849963724769,0.0260484624897572,-0.00581744468802603,-0.00250340052901754,0.00359933196937212,0.0159201714240933,0.0118636856665668,-0.00734655251263661,-0.00550697024507196,-0.00726710644977591,0.00202368703518663,0.00251345394137892,0.0162910473648392
"2022-01-20",0.00165544901430437,-0.00951448704631985,0.00421101465579965,0.01010456544317,-0.00183029903071041,0.000369354309242897,0.00973547451082735,0.00132292564817926,0.0072280510774827,0.00179317250069522,-0.0103871237251678,0.0222769279659789,-0.0118296445659638,0.000714121282121782,-0.0011106086322169,0.00928611417831582
"2022-01-21",-0.00528309177793174,-0.00443061693449187,-0.00118529008534851,-0.00576929945868743,-0.00896174529862537,-0.0119870257927884,-0.0169815688640129,-0.00623743767484242,-0.0185904553709337,-0.223669451251772,-0.0341685009810677,-0.0238338804944898,0.0115996569893226,0.00769133829487156,0.00593042878628491,0.00632831087380192
"2022-01-24",-0.0134803721655803,-0.0530504276397283,-0.0240748942426234,-0.0319224816606395,-0.0284950763907595,-0.0176109751373664,-0.0327538258489957,-0.0191789121867098,-0.0128640992926006,-0.0707924321012677,-0.0174877078623896,-0.0544654873153535,0.0140217385508163,-0.0199127952600197,-0.0221689748744091,-0.0109178903994337
"2022-01-25",-0.00943833844341446,-0.0385289814250585,-0.0107040946652961,-0.0212234483576709,0.00336703767559499,-0.00779577286794608,-0.00329453007391201,-0.0218208008029517,-0.022043318532408,-0.0277153545136151,-0.025400576976103,-0.00297310121597782,-0.019117126735734,-0.00871392245511515,0.0124256090735162,-0.0192311843747778
"2022-01-26",0.000889339696086067,0.0382771832858362,0.0082926811100239,0.042549168327473,0.00946507582959799,0.0118406350522078,0.0260643534141012,0.0247055709396966,-0.00323167077007702,0.00878774407942129,0.00904200968768465,0.0309723680009235,0.00332885405554006,-0.00121109386448992,0.000566686085674339,0.00399486083018319
"2022-01-27",0.00673583543637335,0.00276658531482221,0.00857909134098844,0.0199015838675958,0.000435698251638694,-0.00449562800408698,0.0123136510984074,0.0120673047745687,0.0113871488712547,0.0743675047617431,0.021057123782626,-0.0589016504221059,0.00485613696898635,0.00695786923000985,0.01232329782676,0.00963071486477607
"2022-01-28",0.00289856691127799,0.00606085575493598,0.0461939662136948,0.00541960805308261,-0.00659778175401904,-0.00581516230748258,0.0774193896987516,0.0148501881607745,0.00958790913998508,-0.0185155864966615,0.00949784855303903,-0.00524062379534063,0.00939877724196703,0.0144263302548036,-0.000117220490624792,-0.00199309665418002
"2022-01-31",0.00267928891077096,0.0411777694008837,0.0113015640325809,0.00361704469944946,-0.002725051134991,0.000818464747888603,-0.0166008597926089,0.00367644240247866,0.0160585218146929,0.0743833695241265,0.0232848672632211,0.0634134787994329,-0.00471984216183075,-0.00569157175733304,-0.00040742807011529,0.00585760576286276
"2022-02-01",0.00254928878515459,0.00128644378797604,-0.00689439203267361,-0.00996850599394927,0.00780235403367446,0.0086473484517875,0.0192112183573414,0.0057445092898023,0.00839554856041524,0.0348129298891091,0.000630097641926008,-0.0132056163917634,-0.00122625808915788,0.00268957999248709,-0.00919960036123713,-0.00781896283503181
"2022-02-02",0.00217552202958027,0.0222014354582591,-2.86195143490708e-05,0.0104935552918088,-0.00660416435900768,-0.0108831563354111,0.0024530887128893,0.0791207982318765,0.0107680174250588,-0.0391573702564442,0.00513083712893536,-0.0223301673372669,0.00682126201893429,-0.00130899367585013,0.00257487593304706,0.0151790110261616
"2022-02-03",-0.00879140772840548,-0.0322280479229456,-0.00944037799867237,-0.0250908902213192,-0.00149284913063297,0.000200021004495232,-0.014442247569998,-0.0123631760880754,-0.251160990712074,-0.0295939685364763,-0.0618956448283837,0.00342294178193736,-0.0162416909153191,-0.0247976764154895,-0.00254679666562307,0.0252094736159831
"2022-02-04",-0.00126789933981764,0.00774595562523284,-0.00294965023041738,0.0104066207695799,0.0270299192874806,0.0163752874106369,-0.0170812573047484,-0.00276047699472759,-0.00588826517845553,-0.00220661795403765,0.122859537997044,0.0198565796401649,-0.0146651431718706,-0.00878229613955939,-0.00700393101960173,-0.00789734525098784
"2022-02-07",0.00178128654116261,0.0153377683103584,0.000348033869749909,-0.00676605644145933,0.00196771381742167,-0.00213028941690541,-0.0018608654183353,-0.0119894365259801,-0.0250326780980478,-0.0176024147256975,0.0147869115488803,0.00207940076451263,-0.00291939353114257,-0.000433414599751658,-0.00439902616869359,0.00229729768138554
"2022-02-08",0.00618413640774973,-0.00497416270806472,0.0100780361798449,0.00599764945196135,0.0199959029945493,0.0233226098818173,-0.00235518424671788,-0.00498559797743581,-0.01756260065502,-0.00218849405311361,0.0046601305970817,0.00353233900122008,0.00430948162817923,-0.0138370055608903,0.00119842063592035,0.00994417497871591
"2022-02-09",0.00801036912461961,0.037079843750558,0.00540520537397726,0.0167454890478007,0.000607508680599222,0.00432833000940569,0.0162103712637254,0.0140370370897407,0.0345626691474732,0.00583600554985364,0.00389529791617726,0.0120769670506486,0.0104858157938599,0.0118794482540006,0.00137023058289887,0.0105388964748334
"2022-02-10",-0.00873714636807388,-0.0165699350572965,-0.0156852700748553,-0.0202435267695386,0.00314530621925724,0.00335245131559803,-0.0149867854535034,-0.0132157636081662,-0.00495690312878838,-0.0259391366916046,-0.0121363081075171,-0.0126019101319509,-0.017660613236071,-0.00892015357515863,-0.00717244922464377,-0.0169745065799047
"2022-02-11",-0.00631109250596285,-0.0333603954675947,-0.00906343018155231,-0.0103346780525753,-0.0118246673338952,-0.00237252404249999,0.00323597397395314,-0.0168933139598881,-0.0152365764542448,-0.0163438003163155,-0.0197259658481258,-0.0234591296564063,-0.00602663947652327,-0.00792853405659977,-0.00339395929554509,-0.00674926786216001
"2022-02-14",-0.00551414811196382,0.0152824829667446,-0.00337997922727229,-0.00333853234078108,-0.00740817103090763,-0.0124740007262597,0.00153542030157117,0.00369184683588286,-0.00756093663873936,0.0174158460597953,0.0114534856463258,0.0186221462026959,-0.00119904484138467,-0.00579030059114694,-0.0108521093039123,-0.00961039138428132
"2022-02-15",0.0105958343141472,0.0575884957647617,0.0161060724340696,0.0132541979773571,0.0115985062346411,0.0157715174284303,0.00781042941702803,0.0106179108093916,0.00186035271003315,0.0214716071661323,0.00744515821329972,0.0370306310035873,0.00807831271021198,0.0256934300020206,0.0087861965460958,0.00797853914332958
"2022-02-16",-0.00429731276787948,-0.0161540077968407,-0.00633713544681569,-0.010633365431619,-0.000313860417683443,0.00129268728062781,-0.000351162446153519,-0.000757698032174403,-0.0275565445153422,-0.028199092265665,0.00174908589897771,-0.00933402611014256,-0.0112382278484512,0.00393703546704827,-0.00319763337828916,-0.00348160614489224
"2022-02-17",-0.0125404663140218,-0.0579381885504546,-0.0136771983112841,-0.0203672991770137,-0.0222315322809953,-0.0180645358177923,-0.010182717358049,-0.0213594565869315,-0.0194420965438707,-0.0142559078554325,-0.00427572902714468,-0.0293375462193139,-0.000685510117071075,-0.0105057488876052,-0.00613007065436855,-0.0124153241284102
