"","DIA.r","DIA.mid","DIA.rad","NVDA.r","NVDA.mid","NVDA.rad","AAPL.r","AAPL.mid","AAPL.rad","MSFT.r","MSFT.mid","MSFT.rad","BAC.r","BAC.mid","BAC.rad","JPM.r","JPM.mid","JPM.rad","V.r","V.mid","V.rad","GOOGL.r","GOOGL.mid","GOOGL.rad","META.r","META.mid","META.rad","NFLX.r","NFLX.mid","NFLX.rad","AMZN.r","AMZN.mid","AMZN.rad","TSLA.r","TSLA.mid","TSLA.rad","HD.r","HD.mid","HD.rad","LLY.r","LLY.mid","LLY.rad","JNJ.r","JNJ.mid","JNJ.rad","UNH.r","UNH.mid","UNH.rad"
"2022-01-04",0.00598884950030043,0.00691861417077866,0.00273463142646313,-0.0275887044384719,-0.0236545802487437,0.0351747860430536,-0.0126915973205362,-0.00538429623161296,0.0104939493420931,-0.0171470955470501,-0.0122180622491131,0.0135623854964059,0.039194485953439,0.0336725919207388,0.0150497984025852,0.0379097402504875,0.0290971052557329,0.0134508540062249,0.00465164644427407,0.0129612195344482,0.0112450794658852,-0.00408296511015438,0.000753512647593935,0.00954708943637359,-0.00593728869525412,-0.00313113011941735,0.0165711598887939,-0.0104122710938961,-0.0106550280414128,0.0157440157203563,-0.0169155870059795,-0.0089771517302375,0.0148191258860766,-0.041832696836128,-0.0285510717945497,0.0354023034465929,0.0102779501245527,0.00553048934767486,0.00663173296283672,-0.0181062570522691,-0.0184006736710456,0.0115924227281319,-0.00268154059159165,-0.000553769354241118,0.00492592762259891,-0.0226566952904149,-0.00988491747622278,0.0128115743693416
"2022-01-05",-0.0102753658343153,-0.00307170913372123,0.00750263556003452,-0.0575623342872899,-0.0278422749712889,0.0321440655737193,-0.0265998823621217,-0.0127712755031728,0.0153867525687539,-0.0383879046470643,-0.0242697801688155,0.0153338744086819,-0.0168785443834328,-0.00468852429566213,0.0126067831022351,-0.024131579619684,-0.0106357840829093,0.013793734231956,-0.0110581976068683,0.000606825958652246,0.0120246469973295,-0.0458762770033411,-0.0228931228064094,0.0235855825506485,-0.0367277371895408,-0.0199982044749382,0.0177101795842453,-0.0399729799544327,-0.0190983944070984,0.021957207118987,-0.018893091563845,-0.0106270110491913,0.00826608051465371,-0.0534712136768364,-0.0208030238787799,0.0388529909558233,-0.0135645919804056,-0.00563171439023868,0.008974425598101,-0.0230876043569417,-0.00830177413949484,0.0156477936777908,0.00666354557778304,0.00856322376789165,0.00540684499566041,-0.00246484308438044,0.0049806627716813,0.00744550585606159
"2022-01-06",-0.00466912495963079,-0.00215607039469679,0.00369414494831357,0.0207940661861858,0.00534342985283898,0.0248695693872342,-0.016693335236175,-0.00828948641333571,0.0104619360291051,-0.00790189001016672,-0.00406158304025994,0.011394560119763,0.0201356667400283,0.0104917110784857,0.0102797924377791,0.0106240414344416,0.011234560700969,0.0106850654111814,-0.0011363636363636,-0.00122725746848362,0.00990909229625355,-0.000199574226882437,0.00344226778342582,0.0122718214260321,0.0255729329794774,0.0208995083315893,0.0253725075201911,-0.0250740126029125,-0.0261400400989541,0.0188098953593137,-0.00671098196132314,-0.00601431582074585,0.00870971934678265,-0.0215233738308541,-0.0311271052703318,0.0310167997568735,-0.00363417273411248,-0.00293436817131332,0.00742807491359697,-0.00506429063928149,-0.00870898406377063,0.0112027262916816,-0.00342582936771985,-0.00330971832995031,0.00493553866041265,-0.0409238670281404,-0.0327962537085192,0.0214625777802817
"2022-01-07",-0.000220803793176794,0.000303499950651709,0.00378044389141506,-0.0330399521788741,-0.0155617665739075,0.0242210537096199,0.000988361447356478,0.00340115746786429,0.0090406994486964,0.000509760607940279,-0.00186379095439859,0.0102109143022706,0.0218158988938013,0.0115312755632464,0.0129856635389531,0.00990816425396446,0.00468217663412251,0.00746133747265158,-0.0126962151814918,-0.00832765338363906,0.0103754210661974,-0.00530317632280319,-0.00464617797776112,0.00973522889153269,-0.00201522868127357,0.00144381579337494,0.0122119883984366,-0.0221041335368151,-0.013492021084978,0.0137450518523472,-0.00428777829433624,0.00234759950776775,0.00983894403727297,-0.0354465674517168,-0.0180661227962357,0.033309864005449,-0.0299438685963178,-0.0179293399551022,0.0138135735228728,0.000655587230699917,-0.00134959650965405,0.00875334280645702,0.0135174037139587,0.00632173310962436,0.00923497663217385,-0.023528133581546,-0.0167997434093174,0.0132226270511481
"2022-01-10",-0.00419527207064185,-0.00960502263528151,0.00659655931592647,0.00561529267024952,-0.0253422492741652,0.0334899398156493,0.000116189072856487,-0.010658065307476,0.0125747861912788,0.000732328564807982,-0.0138039950194661,0.0159693008954019,-0.00508336719090441,0.000610018024793435,0.0176901348888735,0.000957188673151643,0.00155536313196958,0.0113065287643138,-0.0229996558754951,-0.0304664824631184,0.0177451989075506,0.0120605206543849,-0.00748077909506784,0.0206361212471098,-0.0112119145390102,-0.0298532619518134,0.0194550820242097,-0.00223632101468441,-0.0111909821248722,0.0160518199834555,-0.0065701761706104,-0.0219680790797905,0.0164775846818482,0.0303419534138019,-0.00721551889064076,0.0385117260706872,-0.0156245881084327,-0.0237798473105361,0.00848554778128259,0.00235061792509628,-0.0056840018270562,0.00822736854038716,-0.00494395300626216,-0.00589246285982603,0.00439781203259267,0.0139555032954792,0.00337982505961598,0.0124509188379497
"2022-01-11",0.00485046691580449,-0.00156601465679418,0.00699851391857485,0.0152189716313909,0.00189784672170279,0.0223722600222993,0.0167837815707788,0.00470409168423913,0.0126603905271624,0.00225927386475755,-0.00324558198150926,0.0106913974258494,0.00572243567444364,0.000306547916510969,0.00623340084352132,0.00101600622462272,0.000567735997790919,0.00660413165529219,0.0113695506356113,-0.000589706087088526,0.0146482790473079,0.00769093307499547,-0.00155218333413298,0.0127046635043471,0.0192031811879185,0.00574570812556208,0.0142500166043453,0.00183382462384407,-0.0052977901678396,0.0128183648717439,0.0240021256439247,0.0126312157084481,0.0174891284689827,0.00593502465759865,-0.000741856451209277,0.0174980004312354,-0.00203886348207727,0.00160019199310923,0.00970421356980768,0.00849649031992827,-0.00144163916161888,0.0102841228803358,-0.0106302869999416,-0.00774161630505099,0.00947483635303209,0.00860215053763436,0.0012043286395329,0.0105161277196741
"2022-01-12",0.00113091976732438,0.00158602343104142,0.0039857451077724,0.00654280179694089,0.0102275632830477,0.0177409413623133,0.00257023614082663,0.0052547301766257,0.00673973419831179,0.0104450375026706,0.0167152960417158,0.0100482838101725,-0.00711234465825317,-0.00365776064165679,0.00711238341762463,0.00567196201018083,0.00534353683395405,0.00719447006707435,0.00620394533427548,0.00613394338119622,0.00879280760004122,0.0121264661644611,0.0137062776856032,0.00684683270038955,-0.00331963204764674,-0.00349911231878108,0.00948051025880571,-0.0066932829333981,-0.00498300299990206,0.0113249619334345,-0.000937330098538691,0.00172655871960603,0.0074412456985979,0.0392897489318418,0.0275413840909142,0.0198468771003414,0.00706023320647331,0.00839215611374011,0.00914217172097841,-0.0243977164401464,-0.0309355187045804,0.0123322679171521,-0.00852558665031933,-0.0119124141052691,0.00508030800923814,0.01006396848764,0.00390192288071356,0.00957357248009395
"2022-01-13",-0.00482160060929215,-0.000440842145551734,0.00644715872486557,-0.0508589506210685,-0.0182149781260176,0.035394126791439,-0.0190280656361775,-0.00754859332792857,0.0137583372205446,-0.0423225616164661,-0.0183177389433824,0.0265183734965463,-0.00204671075663421,0.00409334343923606,0.00880066106844626,-0.00124677458337275,0.00243407757523317,0.00569935330419271,-0.00329148714370486,0.00862265506033877,0.0134903154334183,-0.0201052154709747,-0.00566352303413098,0.015700325037068,-0.0203444715255968,-0.00769670037281145,0.0148082500569583,-0.0335430912667135,-0.0143237543403703,0.0209690475683275,-0.0241696550274378,-0.00938671318737605,0.0155274689974311,-0.0674910733143577,-0.0317748545213423,0.0402542127401499,-0.00621464547531447,0.00175911034753606,0.0108500415247535,-0.0244216944541945,-0.015219586866733,0.0135784561542044,-0.00606631026577109,-0.00206131608790838,0.00577181086218407,-0.0132779036745619,-0.00518239007162147,0.0111563547870086
"2022-01-14",-0.00570320456526729,-0.00858256162108828,0.00470652516829869,0.0138099214280045,0.0048353349906991,0.018570110832204,0.00511066188707421,0.00142281847792458,0.0078111458367672,0.0177166162412394,0.00815293952973684,0.0115977815081491,-0.0174322908814728,-0.0215340293930414,0.0106644888364164,-0.0614634524192523,-0.0550734091716545,0.0122748766204017,-0.00153489223746361,0.00455815514852831,0.0105581239212391,0.00644716759971287,0.00204383448585066,0.0135059551190991,0.0166012703006899,0.00150082767056614,0.0176427639420357,0.01250004040993,0.0114118377290031,0.0255104215005515,0.00573148700356563,-0.0011708115636051,0.00759702426457275,0.0174977585750591,0.00109541822743986,0.018719204259089,-0.0387100381442115,-0.0264225691592036,0.0135795253853516,-0.0222293551186005,-0.0118156150088987,0.0153001951489555,-0.00545151812568967,-0.00509599809400751,0.00444418123022409,0.00269561171805033,0.00362622713727845,0.00865373102093617
"2022-01-18",-0.0147296550903699,-0.0143398791669145,0.00381465462301267,-0.038564307745066,-0.0273921378467548,0.0161086788045932,-0.018894112983627,-0.0121049792652577,0.00904255356666134,-0.0243391941116621,-0.0142811831690153,0.0129916138643064,-0.0344396061601747,-0.019307057970261,0.0195157476293102,-0.0419278937410745,-0.0299575867706521,0.0165938486079556,0.00484468511572533,0.00442541848297351,0.00600922777533222,-0.0249676348108313,-0.0229099811245911,0.00606892423296635,-0.0414281417681751,-0.0330671619359822,0.00989752474760473,-0.0283246477233872,-0.0199262037605198,0.0124312731883145,-0.0198627388461902,-0.0212072397607501,0.00638342664642426,-0.018197241232531,-0.00589264811322565,0.0260715650170002,-0.0141935451056368,-0.0213440925844254,0.0108333300518733,0.0120842711209097,0.00485419142917576,0.0131697690954886,-0.00440890282722162,-0.00580909494396231,0.00509415738553953,-0.0164287955085918,-0.0142098265962948,0.00785165601274226
